State,Year,Avg ASC-1 State Rate*,Median ASC-1 State Rate*,Avg ASC-2 State Rate*,Median ASC-2 State Rate*,Avg ASC-3 State Rate*,Median ASC-3 State Rate*,Avg ASC-4 State Rate*,Median ASC-4 State Rate*,Avg ASC-9 State Rate*,Median ASC-9 State Rate*,Avg ASC-11 State Rate*,Median ASC-11 State Rate*,ASC-12 Better,ASC-12 No Different,ASC-12 Worse,ASC-12 Too Small,Avg ASC-13 State Rate*,Median ASC-13 State Rate*,Avg ASC-14 State Rate*,Median ASC-14 State Rate*,ASC-17 Better,ASC-17 No Different,ASC-17 Worse,ASC-17 Too Small,ASC-18 Better,ASC-18 No Different,ASC-18 Worse,ASC-18 Too Small,ASC-19 Better,ASC-19 No Different,ASC-19 Worse,ASC-19 Too Small
SC,2024,0.000,0.000,0.012,0.000,0.003,0.000,0.067,0.050,91.56,94.19,100.00,100.00,0,32,0,5,72.26,100.00,0.239,0.187,0,28,0,9,0,12,0,6,0,21,0,31
SD,2024,0.000,0.000,0.014,0.000,0.006,0.000,0.043,0.017,72.28,87.67,N/A (5),N/A (5),0,4,0,1,84.52,89.63,0.171,0.150,0,1,0,7,0,1,0,1,0,4,0,4
TN,2024,0.002,0.000,0.019,0.000,0.003,0.000,0.088,0.074,94.57,97.06,N/A (5),N/A (5),0,44,0,7,68.33,100.00,0.238,0.198,0,45,0,18,0,12,0,9,0,39,1,45
TX,2024,0.002,0.000,0.018,0.010,0.003,0.000,0.091,0.081,77.58,88.89,99.40,100.00,1,167,1,19,90.66,100.00,0.462,0.280,0,141,0,95,0,33,0,54,0,103,0,155
UT,2024,0.003,0.000,0.021,0.018,0.010,0.000,0.118,0.124,41.85,97.41,100.00,100.00,0,15,0,0,97.24,100.00,0.298,0.198,0,26,0,7,0,8,0,8,0,12,0,21
VA,2024,0.003,0.000,0.014,0.011,0.008,0.000,0.112,0.105,87.48,97.09,N/A (5),N/A (5),0,17,0,1,90.70,100.00,0.273,0.295,0,36,0,8,0,14,1,12,0,37,0,16
VI,2024,0.000,0.000,0.108,0.112,0.000,0.000,0.161,0.179,100.00,100.00,100.00,100.00,0,2,0,0,100.00,100.00,2.199,2.138,0,1,0,2,0,0,0,1,0,1,0,2
VT,2024,N/A (5),N/A (5),0.024,0.024,N/A (5),N/A (5),0.063,0.067,100.00,100.00,N/A (5),N/A (5),0,1,0,0,94.06,96.88,0.029,0.029,0,1,0,0,0,0,0,1,0,1,0,1
WA,2024,0.002,0.000,0.019,0.000,0.003,0.000,0.079,0.046,93.15,94.39,88.93,85.34,1,48,0,5,75.14,99.90,0.263,0.243,0,51,0,35,0,8,0,17,0,47,0,48
WI,2024,0.004,0.000,0.016,0.000,0.002,0.000,0.101,0.075,93.20,94.31,N/A (5),N/A (5),0,28,0,0,97.20,98.97,0.166,0.170,0,29,0,22,0,6,0,11,0,12,0,37
WV,2024,0.008,0.000,0.000,0.000,0.000,0.000,0.059,0.134,65.22,66.79,N/A (5),N/A (5),0,3,0,0,98.83,82.04,0.187,0.192,0,2,0,2,0,0,0,0,0,1,0,3
WY,2024,0.002,0.000,0.014,0.000,0.000,0.000,0.082,0.064,82.32,92.55,N/A (5),N/A (5),0,10,0,3,96.06,99.84,0.323,0.000,0,10,0,5,0,3,0,3,1,5,0,12
